Province,Ship Date,Sales Channel,Order Priority
Alberta,10/31/2014,Offline,M
Ontario,12/8/2011,Online,M
Ontario,12/9/2016,Offline,C
Alberta,5/12/2010,Offline,C
Manitoba,8/31/2011,Offline,H
Quebec,12/28/2014,Online,H
New Brunswick,4/17/2015,Online,H
British Columbia,6/28/2012,Offline,M
Ontario,3/7/2015,Online,H
Ontario,1/19/2014,Offline,H
Ontario,1/19/2016,Online,M
British Columbia,3/18/2010,Offline,M
Alberta,12/22/2016,Online,C
Alberta,1/5/2016,Online,C
Saskatchewan,2/6/2011,Offline,L
Ontario,7/22/2010,Offline,H
British Columbia,5/12/2016,Online,H
British Columbia,8/7/2012,Online,M
Ontario,10/3/2014,Online,C
Ontario,9/8/2012,Offline,L
British Columbia,10/15/2012,Online,C
Quebec,9/16/2010,Online,L
Ontario,3/9/2011,Online,H
Ontario,1/24/2016,Online,L
Ontario,11/13/2012,Online,H
Ontario,3/20/2017,Online,M
Ontario,11/4/2014,Offline,M
Quebec,2/22/2012,Offline,M
British Columbia,3/9/2016,Offline,H
New Brunswick,1/7/2016,Online,C
Ontario,6/23/2017,Offline,C
Nova Scotia,7/9/2015,Online,H
British Columbia,3/16/2014,Online,L
Alberta,4/8/2014,Offline,M
Ontario,10/24/2010,Offline,L
Ontario,5/14/2010,Online,M
Manitoba,10/22/2013,Offline,H
Quebec,4/14/2011,Offline,M
Saskatchewan,8/12/2016,Online,L
Alberta,2/18/2011,Online,L
Saskatchewan,6/12/2014,Offline,C
British Columbia,9/2/2013,Online,M
Quebec,11/20/2011,Online,L
Ontario,12/30/2016,Offline,L
Quebec,4/17/2015,Offline,L
Alberta,4/21/2013,Online,M
British Columbia,9/1/2010,Online,C
Alberta,2/15/2012,Online,L
Alberta,8/30/2015,Offline,H
New Brunswick,1/26/2017,Online,H
Ontario,5/31/2012,Online,L
Ontario,12/20/2010,Online,M
Quebec,1/1/2015,Online,M
Ontario,7/28/2016,Online,C
British Columbia,6/7/2016,Online,L
Ontario,11/5/2012,Offline,M
Quebec,3/15/2012,Offline,L
Quebec,2/13/2011,Online,M
British Columbia,6/19/2014,Offline,C
Ontario,1/25/2017,Offline,H
British Columbia,7/29/2014,Online,L
British Columbia,4/22/2015,Offline,H
British Columbia,4/4/2013,Offline,L
Saskatchewan,3/25/2015,Offline,C
Alberta,7/29/2013,Online,M
Ontario,1/8/2013,Offline,C
New Brunswick,4/3/2012,Online,L
Ontario,5/12/2014,Offline,C
British Columbia,2/1/2016,Online,M
Ontario,6/8/2011,Online,L
Quebec,8/22/2010,Online,H
Alberta,8/19/2013,Offline,L
Alberta,11/6/2013,Offline,H
British Columbia,2/19/2017,Offline,M
British Columbia,4/17/2015,Offline,H
British Columbia,5/8/2012,Offline,L
Ontario,10/1/2013,Online,C
Alberta,6/14/2014,Online,M
Quebec,5/17/2010,Online,L
Ontario,7/19/2017,Online,C
Ontario,3/29/2015,Online,L
British Columbia,2/10/2010,Offline,L
Quebec,3/17/2010,Offline,L
Alberta,2/8/2013,Offline,M
Manitoba,3/18/2017,Online,M
Ontario,2/23/2011,Offline,C
Ontario,3/31/2014,Offline,M
British Columbia,8/17/2013,Online,C
British Columbia,9/4/2011,Offline,M
Alberta,8/2/2016,Offline,M
Ontario,3/23/2014,Online,L
British Columbia,9/13/2010,Offline,L
Ontario,2/6/2013,Online,M
Ontario,11/17/2010,Offline,H
Alberta,11/20/2016,Online,M
New Brunswick,3/23/2011,Offline,L
New Brunswick,1/31/2013,Online,L
Saskatchewan,10/9/2015,Online,M
Ontario,12/24/2013,Offline,C
Quebec,8/22/2014,Offline,C
Ontario,12/7/2010,Offline,C
Manitoba,7/29/2015,Offline,L
Alberta,5/18/2012,Offline,H
Ontario,7/19/2012,Online,L
Manitoba,5/24/2013,Online,M
Alberta,1/11/2017,Online,M
New Brunswick,4/6/2011,Offline,H
Ontario,11/4/2011,Offline,L
Saskatchewan,6/26/2012,Online,M
New Brunswick,11/17/2011,Offline,M
Ontario,1/29/2010,Offline,L
Quebec,9/7/2011,Online,H
Alberta,10/26/2014,Offline,M
British Columbia,9/19/2014,Offline,C
New Brunswick,9/18/2015,Online,H
British Columbia,7/11/2011,Online,C
Ontario,2/14/2012,Online,L
